Date,aer,knc,dps,tik,anof
29.01.2024 14:40:00,0.925000000000000,-0.599000000000000,-0.207000000000000,0.134000000000000,-0.391000000000000
29.01.2024 14:50:00,0.930000000000000,-0.533000000000000,0.703000000000000,0.271000000000000,-0.596000000000000
29.01.2024 15:00:00,1.12500000000000,-0.524000000000000,-0.933000000000000,0.961000000000000,-0.397000000000000
29.01.2024 15:10:00,0.843000000000000,-0.0610000000000000,-0.844000000000000,1.08200000000000,-0.0840000000000000
29.01.2024 15:20:00,1.08500000000000,-0.710000000000000,-0.641000000000000,0.229000000000000,-0.366000000000000
29.01.2024 15:30:00,0.919000000000000,-0.108000000000000,-0.789000000000000,1.02300000000000,-0.477000000000000
29.01.2024 15:40:00,1.13100000000000,-0.445000000000000,-0.800000000000000,0.254000000000000,-0.400000000000000
29.01.2024 15:50:00,1.04000000000000,-0.472000000000000,-0.637000000000000,0.653000000000000,0.0650000000000000
29.01.2024 16:00:00,1.14100000000000,-0.603000000000000,-0.566000000000000,0.348000000000000,-0.0740000000000000
29.01.2024 16:10:00,1.14800000000000,-0.185000000000000,-0.582000000000000,1.09700000000000,-0.156000000000000
29.01.2024 16:20:00,1.40500000000000,0.281000000000000,-0.477000000000000,1.13000000000000,-0.308000000000000
29.01.2024 16:30:00,1.05000000000000,0.0890000000000000,-0.474000000000000,0.291000000000000,-0.360000000000000
29.01.2024 16:40:00,0.972000000000000,-0.290000000000000,-0.650000000000000,1.23400000000000,-0.313000000000000
29.01.2024 16:50:00,1.78600000000000,0.319000000000000,-0.419000000000000,0.465000000000000,0.311000000000000
29.01.2024 17:00:00,1.25400000000000,0.371000000000000,-0.374000000000000,1.71300000000000,0.197000000000000
29.01.2024 17:10:00,1.69000000000000,0.228000000000000,-0.397000000000000,1.42100000000000,0.440000000000000
29.01.2024 17:20:00,1.96100000000000,0.440000000000000,-0.138000000000000,0.594000000000000,-0.0270000000000000
29.01.2024 17:30:00,1.55000000000000,0.143000000000000,-0.165000000000000,1.48900000000000,0.0520000000000000
29.01.2024 17:40:00,1.86900000000000,0.306000000000000,0.0280000000000000,2.03900000000000,0.256000000000000
29.01.2024 17:50:00,2.11600000000000,0.242000000000000,0.0620000000000000,1.28500000000000,0.0840000000000000
29.01.2024 18:00:00,2.21800000000000,0.299000000000000,-0.213000000000000,1.51400000000000,0.819000000000000
29.01.2024 18:10:00,1.65000000000000,0.827000000000000,0.110000000000000,1.77500000000000,0.891000000000000
29.01.2024 18:20:00,2.14000000000000,0.393000000000000,0.0180000000000000,2.00700000000000,0.441000000000000
29.01.2024 18:30:00,2.18100000000000,0.606000000000000,0.265000000000000,1.40800000000000,0.978000000000000
29.01.2024 18:40:00,2.03300000000000,0.765000000000000,0.291000000000000,2.11200000000000,0.528000000000000
29.01.2024 18:50:00,2.03600000000000,0.972000000000000,0.318000000000000,1.89000000000000,1.07500000000000
29.01.2024 19:00:00,2.39600000000000,0.906000000000000,0.551000000000000,1.36200000000000,1.19700000000000
29.01.2024 19:10:00,2.42700000000000,0.780000000000000,0.560000000000000,1.61400000000000,1.14800000000000
29.01.2024 19:20:00,2.29000000000000,1.24200000000000,0.709000000000000,2.06200000000000,1.36800000000000
29.01.2024 19:30:00,2.65000000000000,1.48500000000000,0.606000000000000,2.39200000000000,0.933000000000000
29.01.2024 19:40:00,2.70600000000000,1.31500000000000,0.709000000000000,1.53400000000000,1.66300000000000
29.01.2024 19:50:00,2.35400000000000,0.951000000000000,0.620000000000000,2.49800000000000,1.24300000000000
29.01.2024 20:00:00,3.04600000000000,1.30100000000000,0.757000000000000,2.22300000000000,1.73400000000000
