Date,Unit,Value,Dec
31.01.24 21:09:01,C,-1,627
31.01.24 21:24:01,C,-2,13
31.01.24 21:39:01,C,12,577
31.01.24 21:54:01,C,16,778
31.01.24 22:09:01,C,17,529
31.01.24 22:24:01,C,17,529
31.01.24 22:39:01,C,19,471
31.01.24 22:54:01,C,20,66
31.01.24 23:09:01,C,22,975
31.01.24 23:24:01,C,25,414
31.01.24 23:39:01,C,22,85
31.01.24 23:54:01,C,21,349
01.02.24 0:09:01,C,21,224
01.02.24 0:24:01,C,21,098
01.02.24 0:39:01,C,21,161
01.02.24 0:54:01,C,21,286
01.02.24 1:09:01,C,21,098
01.02.24 1:24:01,C,21,474
01.02.24 1:39:01,C,21,849
01.02.24 1:54:01,C,21,974
01.02.24 2:09:01,C,21,849
01.02.24 2:24:01,C,22,1
01.02.24 2:39:01,C,22,162
01.02.24 2:54:01,C,22,35
01.02.24 3:09:01,C,22,35
01.02.24 3:24:01,C,22,037
01.02.24 3:39:01,C,22,35
01.02.24 3:54:01,C,22,412
01.02.24 4:09:01,C,22,35
01.02.24 4:24:01,C,22,537
01.02.24 4:39:01,C,22,6
01.02.24 4:54:01,C,22,6
01.02.24 5:09:01,C,22,663
01.02.24 5:24:01,C,22,35
01.02.24 5:39:01,C,22,412
01.02.24 5:54:01,C,22,162
01.02.24 6:09:01,C,21,724
01.02.24 6:24:01,C,21,098
01.02.24 6:39:01,C,20,785
01.02.24 6:54:01,C,20,911
01.02.24 7:09:01,C,21,098
01.02.24 7:24:01,C,20,911
01.02.24 7:39:01,C,20,347
01.02.24 7:54:01,C,20,472
01.02.24 8:09:01,C,20,41
01.02.24 8:24:01,C,20,159
01.02.24 8:39:01,C,20,222
01.02.24 8:54:01,C,20,347
01.02.24 9:09:01,C,20,347
01.02.24 9:24:01,C,20,285
01.02.24 9:39:01,C,20,097
01.02.24 9:54:01,C,20,598
01.02.24 10:09:01,C,20,911
01.02.24 10:24:01,C,20,41
01.02.24 10:39:01,C,20,347
01.02.24 10:54:01,C,20,848
01.02.24 11:09:01,C,20,535
01.02.24 11:24:01,C,21,787
01.02.24 11:39:01,C,22,225
01.02.24 11:54:01,C,22,475
01.02.24 12:09:01,C,22,537
01.02.24 12:24:01,C,22,537
01.02.24 12:39:01,C,22,475
01.02.24 12:54:01,C,22,225
01.02.24 13:09:01,C,21,849
01.02.24 13:24:01,C,21,411
01.02.24 13:39:01,C,20,848
01.02.24 13:54:01,C,20,347
01.02.24 14:09:01,C,20,159
01.02.24 14:24:01,C,20,034
01.02.24 14:39:01,C,19,846
01.02.24 14:54:01,C,20,723
01.02.24 15:09:01,C,22,475
01.02.24 15:24:01,C,22,725
01.02.24 15:39:01,C,22,85
01.02.24 15:54:01,C,22,975
01.02.24 16:09:01,C,23,038
01.02.24 16:24:01,C,23,1
01.02.24 16:39:01,C,23,226
01.02.24 16:54:01,C,23,288
01.02.24 17:09:01,C,23,413
01.02.24 17:24:01,C,23,538
01.02.24 17:39:01,C,23,601
01.02.24 17:54:01,C,23,788
01.02.24 18:09:01,C,23,726
01.02.24 18:24:01,C,23,413
01.02.24 18:39:01,C,23,288
01.02.24 18:54:01,C,23,226
01.02.24 19:09:01,C,23,226
01.02.24 19:24:01,C,23,163
01.02.24 19:39:01,C,22,975
01.02.24 19:54:01,C,22,85
01.02.24 20:09:01,C,22,725
01.02.24 20:24:01,C,22,663
01.02.24 20:39:01,C,22,6
01.02.24 20:54:01,C,22,6
01.02.24 21:09:01,C,22,6
01.02.24 21:24:01,C,22,663
01.02.24 21:39:01,C,22,788
01.02.24 21:54:01,C,22,913
01.02.24 22:09:01,C,22,975
01.02.24 22:24:01,C,23,1
01.02.24 22:39:01,C,23,163
01.02.24 22:54:01,C,23,288
01.02.24 23:09:01,C,23,288
01.02.24 23:24:01,C,23,351
01.02.24 23:39:01,C,23,413
01.02.24 23:54:01,C,23,476
02.02.24 0:09:01,C,23,538
02.02.24 0:24:01,C,23,538
