Date,Unit,Value,Dec
01.02.24 8:43:01,C,20,613
01.02.24 8:58:01,C,20,675
01.02.24 9:13:01,C,20,613
01.02.24 9:28:01,C,20,488
01.02.24 9:43:01,C,20,675
01.02.24 9:58:01,C,21,301
01.02.24 10:13:01,C,21,551
01.02.24 10:28:01,C,21,426
01.02.24 10:43:01,C,21,239
01.02.24 10:58:01,C,19,674
01.02.24 11:13:01,C,21,739
01.02.24 11:28:01,C,22,364
01.02.24 11:43:01,C,22,615
01.02.24 11:58:01,C,22,74
01.02.24 12:13:01,C,22,802
01.02.24 12:28:01,C,22,74
01.02.24 12:43:01,C,22,615
01.02.24 12:58:01,C,22,302
01.02.24 13:13:01,C,21,927
01.02.24 13:28:01,C,21,489
01.02.24 13:43:01,C,20,926
01.02.24 13:58:01,C,20,55
01.02.24 14:13:01,C,20,363
01.02.24 14:28:01,C,20,238
01.02.24 14:43:01,C,19,987
01.02.24 14:58:01,C,23,24
01.02.24 15:13:01,C,23,74
01.02.24 15:28:01,C,23,678
01.02.24 15:43:01,C,23,552
01.02.24 15:58:01,C,23,427
01.02.24 16:13:01,C,23,427
01.02.24 16:28:01,C,23,427
01.02.24 16:43:01,C,23,49
01.02.24 16:58:01,C,23,552
01.02.24 17:13:01,C,23,615
01.02.24 17:28:01,C,23,678
01.02.24 17:43:01,C,23,803
01.02.24 17:58:01,C,23,99
01.02.24 18:13:01,C,23,678
01.02.24 18:28:01,C,23,49
01.02.24 18:43:01,C,23,365
01.02.24 18:58:01,C,23,24
01.02.24 19:13:01,C,23,24
01.02.24 19:28:01,C,23,115
01.02.24 19:43:01,C,22,99
01.02.24 19:58:01,C,22,865
01.02.24 20:13:01,C,22,74
01.02.24 20:28:01,C,22,677
01.02.24 20:43:01,C,22,615
01.02.24 20:58:01,C,22,615
01.02.24 21:13:01,C,22,677
01.02.24 21:28:01,C,22,74
01.02.24 21:43:01,C,22,865
01.02.24 21:58:01,C,22,927
01.02.24 22:13:01,C,22,99
01.02.24 22:28:01,C,23,052
01.02.24 22:43:01,C,23,177
01.02.24 22:58:01,C,23,177
01.02.24 23:13:01,C,23,24
01.02.24 23:28:01,C,23,302
01.02.24 23:43:01,C,23,365
01.02.24 23:58:01,C,23,427
02.02.24 0:13:01,C,23,427
02.02.24 0:28:01,C,23,49
02.02.24 0:43:01,C,23,49
02.02.24 0:58:01,C,23,552
02.02.24 1:13:01,C,23,552
02.02.24 1:28:01,C,23,552
02.02.24 1:43:01,C,23,615
02.02.24 1:58:01,C,23,615
02.02.24 2:13:01,C,23,615
02.02.24 2:28:01,C,23,615
02.02.24 2:43:01,C,23,678
02.02.24 2:58:01,C,23,678
02.02.24 3:13:01,C,23,678
02.02.24 3:28:01,C,23,678
02.02.24 3:43:01,C,23,678
02.02.24 3:58:01,C,23,678
02.02.24 4:13:01,C,23,615
02.02.24 4:28:01,C,23,552
02.02.24 4:43:01,C,23,49
02.02.24 4:58:01,C,23,427
02.02.24 5:13:01,C,23,365
02.02.24 5:28:01,C,23,302
02.02.24 5:43:01,C,23,24
02.02.24 5:58:01,C,23,24
02.02.24 6:13:01,C,23,177
02.02.24 6:28:01,C,23,115
02.02.24 6:43:01,C,23,052
02.02.24 6:58:01,C,22,99
02.02.24 7:13:01,C,22,99
02.02.24 7:28:01,C,22,927
02.02.24 7:43:01,C,22,865
02.02.24 7:58:01,C,22,865
02.02.24 8:13:01,C,22,865
02.02.24 8:28:01,C,22,802
02.02.24 8:43:01,C,22,802
02.02.24 8:58:01,C,22,74
02.02.24 9:13:01,C,22,74
02.02.24 9:28:01,C,22,677
02.02.24 9:43:01,C,22,677
02.02.24 9:58:01,C,22,677
02.02.24 10:13:01,C,22,677
02.02.24 10:28:01,C,22,677
02.02.24 10:43:01,C,22,677
02.02.24 10:58:01,C,22,615
02.02.24 11:13:01,C,22,615
02.02.24 11:28:01,C,22,615
02.02.24 11:43:01,C,22,615
02.02.24 11:58:01,C,22,615
02.02.24 12:13:01,C,22,615
02.02.24 12:28:01,C,22,552
